id,original_word_count,summary_3sent,summary_3sent_words,summary_2sent,summary_2sent_words,word_limited_summary,word_limited_words,original_highlights,highlights_word_count
de209e7381dc872fc52e98065e0cdceea67b519c,265,Elliot Daly is handed his player of the month award by Wasps director of rugby Dai Young . He looks certain to be included in Stuart Lancaster's England's World Cup training squad named next month. Daly is mobbed by his team-mates after scoring a try against Saracens at the Ricoh Arena .,52,A talented sportsman educated at Whitgift School in Croydon - who also produced England internationals Danny Cipriani and Marland Yarde - Daly was offered a contract with Surrey Cricket before opting for a career in rugby. The Wasps centre looks set to be called into England's training squad for the World Cup .,53,England World Cup hopeful Elliot Daly has been named the Aviva Premiership’s player of the month for March. Elliot Daly is handed his player of the month award by Wasps director of rugby Dai Young . Daly is mobbed by his team-mates after scoring a try against Saracens at the Ricoh Arena . He has appeared four times for England Saxons.,61,"Elliot Daly was in fine form at outside centre for Wasps in March .
Daly, 22, has not yet been capped by England .
Wasps head coach Dai Young says England must pick him for World Cup .",38
37fa24ad05baaaf7ad36547e79a6d7270e7fa14c,507,"Scotland's First Minister, appearing on Newsnight tonight, said the Labour leader had allowed himself to be 'kicked around' by the Tories and called on him to be 'tougher' and 'bolder' She told Evan Davis that Ed Miliband had been 'bullied' by the Conservatives into ruling out a coalition deal . When it was put to her that Mr Miliband had, she said: 'I think what he says the morning after the election will probably be different to what he says now. 'He's in an election campaign, he's trying to cling to the pretence that he is going to get a majority.",101,"Scotland's First Minister, appearing on Newsnight tonight, said the Labour leader had allowed himself to be 'kicked around' by the Tories and called on him to be 'tougher' and 'bolder' She told Evan Davis that Ed Miliband had been 'bullied' by the Conservatives into ruling out a coalition deal . That means more debt, higher taxes, unlimited welfare handouts and weaker defence - so we'll all pay.",67,"Labour leader Mr Miliband insisted at the weekend that he is 'not interested in deals' with the SNP. The SNP leader said she had not ruled out a confidence and supply deal between the two parties. A Conservative spokesman said Ms Sturgeon's interview exposed the threat posed by the SNP. That means more debt, higher taxes, unlimited welfare handouts and weaker defence - so we'll all pay.",67,"SNP leader said Ed Miliband had allowed himself to be 'kicked around'
The Scottish First Minister said the Labour leader needed to be 'bolder'
She said he had been pushed into ruling out a deal with the SNP by the PM .
Ms Sturgeon said the Labour leader would change his mind after May 7 .",56
f5c2dc05f42f989b3a82d3640487f20ba26b23c8,864,"The couple started their business as a medical cannabis dispensary in 2010, but when Colorado became the first state in the nation to allow the sale of recreational marijuana, they saw a once-in-a-lifetime business opportunity. ""It's business-minded people -- hardworking Americans -- who are just like any other business and trying to make their dream work."" The two recognize that ""budtender"" might not be a career path any family expects their child to embark on, but for the most part, there has been surprising support: McGuire even got permission to use the remainder of her college fund to start Breckenridge Cannabis Club more than five years ago.",107,"The couple started their business as a medical cannabis dispensary in 2010, but when Colorado became the first state in the nation to allow the sale of recreational marijuana, they saw a once-in-a-lifetime business opportunity. Here are the next states to legalize pot .",44,"McGuire, 25, said. Here are the next states to legalize pot . ""We want to show people that it's not just a bunch of stoners selling pot over the counter,"" McGuire said. And forget about paying for your pot with plastic.",41,"""High Profits"" follows the owners of a recreational marijuana dispensary .
The CNN Original Series airs Sundays at 10 p.m. ET .",22
0ba73570295a5ca2951079aed5e1dc5fe7e58b21,792,"A primary aim of such attacks is thought to be sowing terror. What makes Thursday's attack different is what was targeted -- an institute of higher learning, presumably filled with innocent students with no direct part in the Kenyan and allied governments' fight against Al-Shabaab. Garissa University College began in the 1990s as Garissa Teacher Training College before evolving, by government decree, into its current form as a degree-granting institution in 2011.",72,"Whatever their religion, hundreds of students managed to escape, said Dennis Okari, a reporter with CNN affiliate NTV. What makes Thursday's attack different is what was targeted -- an institute of higher learning, presumably filled with innocent students with no direct part in the Kenyan and allied governments' fight against Al-Shabaab.",51,"Then the terror began. All feared for their lives. It wasn't until about 15 hours after the attack began that the explosions and gunfire around Garissa finally ended. Such terrorism, sadly, isn't new to the people of eastern Kenya.",39,"Kenyan agency: 147 dead, plans underway to evacuate students and others .
Garissa University College students wake to explosions and gunfire .
Reports: Gunmen storm the Kenyan school, attacking Christians and letting Muslims go .",35
6cd35d953e91ad9da7fe9d93ae7e419c30269d50,876,"The British royal, who is currently working in New York,  looked casually chic  in a charcoal leather-trim coat and Nike hoodie, which she pulled over her short, dark tresses. Zara Contrast Leather Collar Biker Coat. Saks Fifth Avenue RED Faux Leather Biker Coat at Saks Off Fifth (now $93.60) Visit site .",52,Saks Fifth Avenue has a dead ringer to Eugenie's Zara style featuring a similar biker design and leather collar! Calvin Klein Jeans Faux Leather Shearling Biker Coat at 6pm (now $139.99) Visit site .,34,Zara Contrast Leather Collar Biker Coat. Calvin Klein Jeans Faux Leather Shearling Biker Coat at 6pm (now $139.99) Visit site . Boohoo Aimee Coat . Visit site .,28,"Princess, 25, spotted in sports luxe outfit in New York with a friend .
Cousin of Princes William and Harry is working at auction house in city .
Celebrated her 25th birthday at the end of last month .",39
7cb35a139e049282aa2a307cb6c62651f44e04d7,466,"Barcelona forward Pedro's decision to consider his Camp Nou future at the end of the season could see him end up at Anfield if Liverpool sell Raheem Sterling. Sterling, pictured in action against Arsenal, has rejected a new £100,000-a-week deal with Liverpool . Pedro, pictured celebrating a goal against Elche, would command wages of £90,000-a-week .",56,Barcelona forward Pedro could join Liverpool this summer if Raheem Sterling leaves Anfield . Dani Alves has been offered a new one-year contract at Barcelona but he is hoping for a longer deal .,34,"Pedro would also cost considerably less than Sterling – understood to be available for £50million - would sell for. Barcelona forward Pedro could join Liverpool this summer if Raheem Sterling leaves Anfield . Sterling, pictured in action against Arsenal, has rejected a new £100,000-a-week deal with Liverpool . Alex Song will also be allowed to leave the club.",58,"Liverpool FC boss Brendan Rodgers has scouted Pedro .
Barcelona forward Pedro is considering his future at the Nou Camp .
Raheem Sterling could leave Liverpool after rejecting £100,000-a-week deal .
Arsenal, Chelsea and Manchester City are keen on the Liverpool star .
Adrian Durham: The real problem with Sterling contract saga at Liverpool .
READ: Real Madrid ARE monitoring Raheem Sterling, reveals Zidane .
CLICK HERE for all the latest Liverpool news .",74
cf97519c18a8a3401993344439b144e475899334,884,"By harnessing the electrons generated by plants such as moss, he said he can create useful energy that could be used at home or elsewhere. ‘In that movie, they try to generate electrical energy, power, from humans,’ he explained. ‘But there are perhaps less ethical issues if you take electrons from photosynthetic organisms than humans.’ The apparatus required is also relatively simple - cables, some water and a plant.",69,"By harnessing the electrons generated by plants such as moss, he said he can create useful energy that could be used at home or elsewhere. 'But there are perhaps less ethical issues if you take electrons from photosynthetic organisms than humans' An A4-sized area of leaves - about (93 square inches (600 square centimetres) - could charge four AA batteries in one hour on a typical sunny day.",68,"And the results are surprisingly efficient. Dr Paolo Bombelli, with his moss-powered clock, is one of the scientists taking part. ‘In that movie, they try to generate electrical energy, power, from humans,’ he explained. ‘To assemble one is not too difficult,’ he explained.",43,"University of Cambridge scientist has revealed his green source of energy .
By using just moss he is able to generate enough power to run a clock .
He said panels of plant material could power appliances in our homes .
And the tech could help farmers grow crops where electricity is scarce .",54
5c8bc799a5cc622c653d84b2bd475515f6216bda,168,"But in a bid to trick her, her owner throws a broccoli spear into the mix. Let's hope the two children she lives with don't follow her lead and they learn to love their greens. Not a broccoli fan: Immediately the canine pulls a look of disgust as she chomps on the vegetable - she then proceeds to spit it out on the floor .",65,"Yuck: Gemma the pit bull was filmed at home in California being fed some treats, but in a bid to trick her, her owner throws a broccoli spear into the mix . Not a broccoli fan: Immediately the canine pulls a look of disgust as she chomps on the vegetable - she then proceeds to spit it out on the floor .",62,"This dog's certainly not setting a good example to the youngsters under her charge. Gemma the pit bull was filmed at home in California being fed some treats. Let's hope the two children she lives with don't follow her lead and they learn to love their greens. When she's not filling her face, other videos show Gemma enjoys sleeping and hanging out with her human family.",66,"Gemma the pit bull was filmed at home in California being fed some treats .
But in a bid to trick her, her owner throws a broccoli spear into the mix .",32
953c6754f1926c570b94ad722fe1a070a0786266,398,"One of the two officers called to the scene tells Harrison to drop the tool, a command the officers repeat at least four times as Harrison's mom screams, ""Jay! Jay! Video from one officer's body camera fades to black as Harrison's mother wails, ""Oh, they killed my son!",48,"One of the two officers called to the scene tells Harrison to drop the tool, a command the officers repeat at least four times as Harrison's mom screams, ""Jay! Video from one officer's body camera fades to black as Harrison's mother wails, ""Oh, they killed my son!",47,"One of the two officers called to the scene tells Harrison to drop the tool, a command the officers repeat at least four times as Harrison's mom screams, ""Jay! Jay! Jay!"" Oh, they killed my son!""",36,"Police in Dallas shot and killed Jason Harrison last year .
A grand jury has decided not to indict the officers .
The officers are still facing a civil lawsuit filed by Harrison's family .",35
85dd3e8200780f847a5a883761170ba92e153564,913,"Loss: Natali Castellanos-Tyler, 30, pictured with her husband, Craig, and their two children, was killed in an SUV crash in Virginia two months ago to the day . Widower: Craig Tyler says the toddler, pictured above, has told him that the white van in her dreams 'hurt' her and her car . Natali had an ivory lace gown picked out for the big day, but instead of wearing it to go down the aisle, she was laid to rest in her dream dress February 27 in the presence of her heartbroken family.",92,"Widower: Craig Tyler says the toddler, pictured above, has told him that the white van in her dreams 'hurt' her and her car . A day earlier, Subastree Thompson said she was also side-swiped by a white box truck on the same road.",43,"Scroll down for video . Accident: Police said the crash was a one-car collision caused by a rain-soaked road . 'I’ll say, ""What happened with the white van?"" A day earlier, Subastree Thompson said she was also side-swiped by a white box truck on the same road.",47,"Natali Castellanos-Tyler, 30, married mother of three from Virginia, was killed when she crashed into tree February 21 .
Daughter Elisa, now 3, was in backseat of Tyler's Ford Explorer and survived crash .
Police ruled that it was a one-car collision caused by sleek road .
Craig Tyler, victim's husband, says little Elisa has been having recurring dream featuring a white van at crash scene .
White box truck has been tentatively linked to three hit-and-run incidents in neighboring communities between March 29 and April 3 .
Each time, truck side-swiped passing vehicle and sped off; April 3 crash involved a school bus filled with students .",108
